benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,4000,10,3,400,400,4000,2119.503124,0,2119.503124,0.529875781,433.277541,441.549083,1244.6765
direct-decrypt,4000,10,4,400,400,4000,2118.825417,0,2118.825417,0.52970635425,431.200291,445.38404199999997,1242.241084
direct-decrypt,4000,10,5,400,400,4000,2118.2001659999996,0,2118.2001659999996,0.5295500415,431.689708,442.282542,1244.227916
direct-decrypt,4000,10,6,400,400,4000,2120.807624,0,2120.807624,0.5302019060000001,431.011333,441.541625,1248.254666
direct-decrypt,4000,10,7,400,400,4000,2128.257418,0,2128.257418,0.5320643545,431.719,442.818084,1253.720334
direct-decrypt,4000,10,8,400,400,4000,2126.802709,0,2126.802709,0.53170067725,431.759167,439.612375,1255.431167
direct-decrypt,4000,10,9,400,400,4000,2117.8983329999996,0,2117.8983329999996,0.52947458325,430.589875,442.46999999999997,1244.838458
direct-decrypt,4000,10,10,400,400,4000,2127.8405000000002,0,2127.8405000000002,0.5319601250000001,437.845958,442.546,1247.4485419999999
direct-decrypt,8000,10,1,800,800,8000,4236.019333,0,4236.019333,0.529502416625,862.843083,885.4159999999999,2487.76025
direct-decrypt,8000,10,2,800,800,8000,4239.635041,0,4239.635041,0.529954380125,864.8372909999999,883.546125,2491.251625
direct-decrypt,8000,10,3,800,800,8000,4253.091499,0,4253.091499,0.531636437375,865.113208,889.68775,2498.290541
direct-decrypt,8000,10,4,800,800,8000,4238.300458000001,0,4238.300458000001,0.52978755725,868.191792,881.893125,2488.2155409999996
direct-decrypt,8000,10,5,800,800,8000,4253.5527919999995,0,4253.5527919999995,0.531694099,878.02375,881.5711670000001,2493.957875
direct-decrypt,8000,10,6,800,800,8000,4233.858333,0,4233.858333,0.529232291625,863.2984580000001,880.615083,2489.9447920000002
direct-decrypt,8000,10,7,800,800,8000,4233.782666,0,4233.782666,0.52922283325,863.211041,882.49225,2488.079375
direct-decrypt,8000,10,8,800,800,8000,4233.417249,0,4233.417249,0.529177156125,863.4264579999999,882.556416,2487.434375
direct-decrypt,8000,10,9,800,800,8000,4240.286292000001,0,4240.286292000001,0.5300357865,864.2377919999999,883.1731659999999,2492.875334
direct-decrypt,8000,10,10,800,800,8000,4234.670499,0,4234.670499,0.529333812375,863.6995830000001,881.1649160000001,2489.806
